id,name,address,reviewcnt,rate,price,phone,cuisine,score
-sqlUrNVD1xN5jlCtRAGdA,Marmar,370 Forest Ave Staten Island NY 10301,130,4.5,2,(718) 556-2220,Mediterranean,0
-svZIUdXGWhX7GXf_Ob6WQ,Mangosteen,510 E Broadway Long Beach CA 90802,68,4,1,(562) 495-5999,Vietnamese,0
-tJF-MtwqL9Ndy59WGQ33A,Aroma Espresso Bar,161 W 72nd St New York NY 10023,446,3.5,2,(212) 595-7700,Coffee & Tea,0
-tQ9Zlb5d9PPlDz_6UgV7w,Antica Pesa,115 Berry St Brooklyn NY 11249,309,3.5,3,(347) 763-2635,Italian,0
-tRo_30vvBJvpjhsLjYoSg,Sushi On Fire,5325 E 2nd St Long Beach CA 90803,459,4,2,(562) 433-0221,Sushi Bars,0
-u02f3nAME2AcjDwioLWsw,Sarabeth's,40 Central Park S New York NY 10019,1485,3.5,2,(212) 826-5959,Breakfast & Brunch,1
-u46_lhKpN9QdrYegVzfpA,Gyros & Heros,1 N Park Ave Rockville Centre NY 11570,38,4,2,(516) 442-3769,Greek,0
-u9yPjmvZilrXYM8JlKG6w,Kappo Masa,976 Madison Ave New York NY 10075,39,3.5,4,(212) 906-7141,Sushi Bars,0
-udRA8VRsQJoIaT-kxCrGg,Ipanema Restaurant,43 W 46th St New York NY 10036,937,4,2,(212) 730-5848,Brazilian,0
-vBfKWJ1v9YdJQT5XUbcBQ,Le Botaniste,833 Lexington Ave New York NY 10065,287,4.5,2,(917) 262-0766,Wine Bars,0
-vF3hX7v1R4oAjfNgifZvA,Feast,102 3rd Ave New York NY 10003,383,4,3,(212) 529-8880,American (New),1
-vKD6J2cvMHvm-VeVfzmgw,Rocharin Thai Bistro,600 Pacific Coast Hwy Ste 108 Seal Beach CA 90740,477,4.5,2,(562) 596-5156,Thai,0
-vhmHDwoK35rrCaZjwnSZA,Gino's Pizzeria,455 Sunrise Hwy Lynbrook NY 11563,47,4,1,(516) 593-1065,Pizza,0
-wGvjd9NmPqrT0tm_pq1QQ,The Black Whale,279 City Island Ave Bronx NY 10464,142,3.5,2,(718) 885-3657,American (New),0
-wgk4_aG8U94UOvllJSsPA,Ai Zhen Foo Chow Restaurant,68 E Broadway New York NY 10002,2,3.5,0,(212) 274-8659,Chinese,0
-wkcI5M7902hJyhkN1zS3A,124 Old Rabbit Club,124 MacDougal St New York NY 10012,307,4,2,(646) 781-9646,Pubs,0
-wxevhRZdHDQwy3Mj0AmCg,Thanya Thai Cuisine,33-47 Francis Lewis Blvd Flushing NY 11358,166,3.5,2,(718) 321-0506,Thai,0
-x81DhQ4eHrknZUcFg5g7w,Puff Cha Ramen,457 W 50th St New York NY 10019,462,4,2,(646) 682-7768,Thai,0
-x8msSO-x-HljbNWk0_-4w,Grain House,249-11 Northern Blvd Little Neck NY 11362,60,4,2,(718) 229-8788,Szechuan,0
-xck-yYOqrSl8rGKCVsdGw,Tung Woo Co,230 Grand St New York NY 10013,121,4,1,(718) 486-5586,Desserts,0
-xeLK9VppWFh6AtP26Hxpg,Los Papi's,77 Bridge St Brooklyn NY 11201,66,4.5,1,(718) 596-6965,Latin American,0
-y9YWgdLZ2UPkxCHyeE-Xg,Piquillo,John F Kennedy International Airport Queens Terminal 5 Queens NY 11464,64,3,2,(866) 508-3587,Tapas Bars,0
-yvKAab1GkifG0Of2oDWpg,China New Star Restaurant,1640 Forest Ave Staten Island NY 10302,39,3.5,2,(718) 815-5826,Chinese,0
-yzizmPFMZ8nudbw0gwvbQ,Morton's The Steakhouse,777 Northern Blvd Great Neck NY 11020,255,3.5,4,(516) 498-2950,Steakhouses,0
0-Z-vRHL-7CqNd7rI4fS8A,The Black Harp,Fulton & S St Pier 17 Fl 3 New York NY 10038,3,2.5,0,(212) 608-4209,American (New),0
0-hM-ARw7sLpkyyow_qf6w,Artichoke Basille's Pizza & Bar,114 10th Ave New York NY 10011,1305,3.5,2,(212) 792-9200,Italian,1
0-z7VSMGBqqyMyw4vre06w,Sushi Village,3250 Francis Lewis Blvd Bayside NY 11358,611,3,2,(718) 886-4733,Japanese,0
0087AC_NnFRtC0c9FsB9pw,The Boil,17 Waverly Pl New York NY 10003,472,4,2,(646) 833-7110,Cajun/Creole,0
00EeXczAXEYV99uKrMJ3GA,The Crispy Pig,243 Glen Cove Ave Sea Cliff NY 11579,110,3.5,2,(516) 801-3250,American (Traditional),0
00XV79_2JNj0XvVeBa76kQ,Colonnade Diner,2001 Hylan Blvd Staten Island NY 10306,87,3,2,(718) 351-2900,Diners,0
00_6_pWRho0Iu1veDLe2aA,TRUFFLE Restaurant & Bar,410 Rockaway Ave Valley Stream NY 11581,75,4.5,3,(516) 887-3373,American (New),0
00jHmlu0elBhzBsw7Y5pww,Jack & Nellie's,10825 Ascan Ave Forest Hills NY 11375,583,4,2,(718) 268-2696,Wine Bars,0
00mykkev3tKCjTsKV60yOA,Sushi of Gari 46,347 W 46th St New York NY 10036,594,4,4,(212) 957-0046,Sushi Bars,0
01P50XjSzeLrrP3BLVccGg,Streetbird Rotisserie,2149 Frederick Douglass Blvd New York NY 10026,547,3,2,(212) 206-2557,Soul Food,0
01eI6pT0doZiu0nm-Gl7RA,Trattoria 35,213-15 35th Ave Bayside NY 11361,354,4,2,(718) 352-3800,Pizza,0
01gJWmB1NfY0u3C8mVMLgg,The Little Red Lighthouse,Fort Washington Park New York NY 10032,28,4.5,0,,Landmarks & Historical Buildings,0
01isnBO1rFO2LTOeNfYl9w,Hillstone Restaurant,378 Park Ave S New York NY 10010,796,4,3,(212) 689-1090,American (New),0
01jmi7k3izMl3z__pSM8tA,King Taco,1841 Long Beach Blvd Long Beach CA 90806,623,3.5,1,(562) 218-9118,Mexican,0
01nkNHTjiMt_GiSML9nUZg,Chef Hong's Restaurant,7226 Amboy Rd Staten Island NY 10307,6,4,1,(718) 227-0100,Chinese,0
02DP6_jh5unwapR4b9xzww,Off Street Cafe,11020 Artesia Blvd Cerritos CA 90703,1264,4,2,(562) 402-9665,American (Traditional),1
02sAHm3_CsRKE2IeT5iaPA,Table 87 Coal Oven Pizza,473 3rd Ave Brooklyn NY 11215,236,4,2,(718) 965-8400,Pizza,0
02sUerL13Wt4Ii2-kDzlow,Rosa's Pizza,5526 69th St Maspeth NY 11378,303,4,1,(718) 446-5910,Pizza,0
02zyTkuXvbGcbA9en_20Gw,Chatham Seafood Restaurant,6 Chatham Sq New York NY 10038,175,3.5,2,(212) 233-8877,Dim Sum,0
03-WCL7HaShHkS5kAk6lVg,Otafuku,220 E 9th St New York NY 10003,443,3.5,1,(646) 998-3438,Japanese,0
03UmxLneuIOpMLA0Yh7Qyw,Rolly Kimbab,163-16 Northern Blvd Flushing NY 11358,160,4,1,(718) 661-1544,Korean,0
03b_GOyFKAtc4eebtNf2iQ,Plattduetsche Park Restaurant,1132 Hempstead Tpke Franklin Square NY 11010,233,4,2,(516) 354-3131,German,0
04BE4rTvzc8y7hkakJtUnA,Crazy Creole Cafe,900 Long Beach Blvd Long Beach CA 90813,488,4.5,2,(562) 507-5494,Cajun/Creole,0
04BXAuE2NoOir1ZskxIKNw,Cajun Cafe - Food Court In South Street Seaport,Pier 17- South Street Seaport New York NY 10038,1,3,0,,Cajun/Creole,0
04BawY14_FaIOoW6PyYvmg,King Wok,24825 Northern Blvd Little Neck NY 11362,39,3.5,1,(718) 229-8828,Chinese,0
04NdwZnSFH3FXFBtwCrrAg,Home Sweet Harlem,1528 Amsterdam Ave New York NY 10031,324,4,2,(212) 926-9616,Breakfast & Brunch,0
04exhf1PZ79_Km9vHAzvfA,Pepe Rosso Social,173 Mott St New York NY 10013,661,4,2,(212) 219-0019,Italian,0
05nfJPfW_rLj8FKybt2fwQ,Pacini's,1650 Richmond Ave Staten Island NY 10314,25,2.5,1,(718) 568-3000,Pizza,0
063dIcpdO00CRfqJrcFEBw,Daruma of Tokyo,95 Middle Neck Rd Great Neck NY 11021,65,3.5,2,(516) 466-4180,Sushi Bars,0
06tnwnEQM2j9A6dC3HC_TQ,Capizzi,547 9th Ave New York NY 10018,665,4.5,2,(212) 695-6900,Pizza,0
078alma2dZl-LGrkD7fFmw,Sunset Pizzeria,645 Rossville Ave Staten Island NY 10309,20,4,2,(718) 356-5918,Pizza,0
